route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
SF:L-OWL,SF:73694,SF:9569259,Wawona + 46th Avenue,,1,SF:9592,SF:180360,0,0
SC:64B,SC:75706,SC:2979851,ALMADEN & CAMDEN,,1,SC:6423,SC:100444,0,0
MA:68,MA:72918,MA:68016,Inverness,,0,MA:1054,MA:157,0,0
BA:BG-N,BA:75725,BA:8231723,Coliseum,,0,,BA:19_shp,0,0
SM:110,SM:73025,SM:1107001,Linda Mar Park & Ride,1107001,0,,SM:1100236,0,0
SF:5,SF:73694,SF:9562005,Ocean Beach,,0,SF:508,SF:179948,0,0
BA:BG-N,BA:75396,BA:8050817,Coliseum,,0,,BA:19_shp,0,0
SF:1,SF:73694,SF:9414576,Drumm + Clay,,0,SF:142,SF:179932,0,0
GF:LF,GF:72813,GF:6800224,North,,1,GF:1477111,GF:LF0018,0,0
ST:R,ST:76069,ST:t853-b1774-slC,RED LINE to EL CERRITO DEL NORTE El Cerrito Del No,,0,ST:6004,ST:2643_shp,0,0
SF:49,SF:73694,SF:9545207,City College,,0,SF:4924,SF:180183,0,0
SF:14R,SF:73692,SF:9556816,Daly City BART,,0,SF:1531,SF:180021,0,0
SM:120,SM:73026,SM:1201132,Brunswick/Templeton,1201132,1,,SM:1200225,0,0
ST:7B,ST:73007,ST:t284-b65-sl9,CCW to VTC via STC KAISER VTC via Kaiser & STC,,0,ST:101,ST:2636_shp,0,0
PE:3,PE:76186,PE:t312-sl9-p94-r2,3 Clockwise Loop,,0,PE:2,PE:148_shp,0,0
SF:24,SF:73693,SF:9445598,Palou + Third Street,,1,SF:2409,SF:180054,0,0
SI:West Field Garage,SI:74999,SI:oah6e3d12,West Field Garage,,0,SI:4,SI:BUSWFG,1,1
SF:22,SF:73692,SF:9541746,Potrero + 16th Street,,1,SF:2226,SF:180042,0,0
SF:37,SF:73692,SF:9554850,Van Ness Station,,0,SF:3708,SF:181675,0,0
SF:54,SF:73694,SF:9562706,Daly City BART,,0,SF:5410,SF:180191,0,0
SC:68,SC:75706,SC:2980496,SAN JOSE DIRIDON STATION,,0,SC:6806,SC:100458,0,0
AC:97,AC:72906,AC:3710020,Union City BART,,0,AC:107945102,AC:shp-97-57,0,0
SC:25,SC:72914,SC:2974379,DE ANZA COLLEGE,,1,SC:2512,SC:100260,0,0
WH:15,WH:72989,WH:678336,SPRINGTOWN - LIVEMORE TRANSIT CENTER,,0,WH:119273,WH:38959,0,0
SF:22,SF:73694,SF:9561074,Bay Street,,1,SF:2204,SF:180041,0,0
WH:3,WH:72990,WH:678627,STONERIDGE MALL - EAST DUBLIN PLEASANTON BART,,0,WH:119312,WH:38966,0,0
SF:38R,SF:73693,SF:9548763,Transit Center,,1,SF:3843,SF:180141,0,0
PE:10,PE:76183,PE:t404-sl21-p78-r1B,Petaluma Blvd North,,0,PE:27,PE:120_shp,0,0
SC:Green Line,SC:72914,SC:2989700,WINCHESTER,,1,SC:9032,SC:100689,0,0
WH:30R,WH:75836,WH:679330,EAST AVENUE VIA LAS POSITAS COLLEGE,,0,WH:119387,WH:38970,0,0
SF:NBUS,SF:73692,SF:9700479,Townsend and 5th St,,1,SF:7021,SF:180437,0,0
SF:14,SF:73694,SF:9569108,Ferry Plaza,,1,SF:1430,SF:180017,0,0
AC:28,AC:72906,AC:4877020,Hayward BART,,1,AC:107940402,AC:shp-28-58,0,0
SF:14R,SF:73694,SF:9556595,Ferry Plaza,,1,SF:1443,SF:180022,0,0
SO:60,SO:73086,SO:t_1290014_b_28400_tn_0,Healdsburg,,0,SO:809,SO:p_2716,0,0
